"","109_PRE","109_SURG","163_PRE","163_SURG","97_PRE","97_SURG"
"ZBTB16",8.35912373931888,11.0613813017862,8.46783507474,11.904331342186,8.61224141956274,11.1859636284556
"FKBP5",11.4077719664973,13.4396236708794,12.1799882996462,14.3328987439106,12.0304960151613,13.5516678856247
"IL7R",9.30165047748268,11.8371964156635,11.002003491872,12.9022410051781,9.37875820292376,11.3352338086632
"DES",7.24151189921317,8.81058230159676,8.28745396011007,10.2400437709058,6.36461704803763,8.11896734914424
"CXCR4",12.3129508536707,14.1177927508408,13.4551066036982,14.7802260110931,12.1215740409602,13.5409103657211
"F3",8.70097338400727,11.3670586602736,7.88213307003031,9.42729281454517,8.48464086170385,9.94358609321548
"TSC22D3",10.4187547151267,12.3490226719715,10.9218065920804,12.3436999512091,11.0464658398057,12.4004609976584
"PER1",9.925626001566,11.3337097602106,10.0005240516918,11.3969428557433,10.910011555577,12.0200621171081
"PCOLCE2",6.30255517220079,8.02394634370375,5.6648305620322,7.67300469686688,4.6533828106919,5.66677641784129
"CILP",8.71721305376036,11.303398208412,8.3370219993709,9.55980561310654,9.05411952926137,10.7358264189301
"TYRP1",13.3558132183919,16.0673985391355,9.05951360464213,9.28106427761001,10.6512941446186,11.8186012280068
"NTS",4.94665745241194,5.70264385594269,5.96488250177418,7.63191477486759,7.210193128211,13.1268914142516
"DPT",10.0222415921332,12.6196226452816,9.89360491385978,10.9537580941355,8.74095137669988,10.571766970649
"AGTR1",4.03705339815745,6.85531430680896,4.69689674260727,6.37674510055957,4.29919522210667,6.31934741708569
"ALOX15B",6.57230560746702,10.2069298188678,8.20170480652829,10.0512757734228,6.34507736535588,8.04059001138383
"BCL11A",6.27468179083781,8.07433989268209,7.66971987953213,8.93791469678913,6.09366504243655,7.42953151653215
"PPP1R1A",3.29953615307227,6.28186623574481,3.4535085662152,5.76071924284385,3.11896449105919,3.91294728271236
"CACNA1I",4.53417128168634,5.72693540259919,5.95206451343919,7.70422668427501,5.36586155879632,6.67621157837627
"HMCN2",7.04201551671757,9.28503335807749,7.74270444238711,8.98447021920155,6.95306810732057,8.23151597460456
"SDK1",9.31227638213986,10.2380688178254,9.08023304370235,10.3181687741109,8.55972741297985,9.54078587593917
"CXCL13",8.66863707851559,11.6315644741638,11.21215182365,12.8386619467489,8.63953680123896,10.0504659538114
"MXRA5",12.5165784956134,14.332023483683,11.9315620241797,12.7566363256068,12.0072718253918,13.1814336550261
"SDPR",7.06191187106465,9.73245053747122,8.03179865329369,9.8714097994925,8.4100111434947,9.70510214747481
"BTLA",5.84416268782004,7.92652515801932,7.85625297008682,9.21481388087618,6.06349227602023,7.32521421534934
"CES1",8.49205370525612,11.1938737980914,9.15711615846159,10.7020252330144,8.24344655607355,9.24243917548189
"COMP",13.3855301184479,14.6193086833714,9.10568188902479,10.64188944248,9.21745039095179,11.006011919703
"PLIN1",6.18159214788466,10.429880949685,6.20615667932144,10.0313252830187,6.34626462698611,7.31015203205902
"SAA1",5.30030403368058,7.72440728065991,5.31945764046286,10.2570621077093,5.43725920522441,6.77133377156591
"SCARA5",5.34331758859349,8.46266093318501,6.6176360445987,8.08594421291758,4.50992497318859,6.30346726545025
"OSR1",4.57459862180097,7.67739345099656,5.57645104017269,6.90488853816677,5.14579205272856,7.73051046654332
"CD69",7.0623806997156,9.00751929829781,8.93764347832541,9.9682046931405,7.40715126400452,9.01962378609178
"SCML4",7.96589736068315,8.85122489970891,8.83067954287589,9.88812851262796,7.60717166603197,8.54069665418631
"TXK",8.91051842408642,9.6713165559803,10.2510535733394,11.3135270905512,8.88282991682703,10.0495551784135
"COL4A5",8.80117489351594,9.63380667155976,8.83878691553191,9.77530540430001,9.6646924315595,11.3466611058002
"FLT3",6.5833075627268,8.10523893462779,8.66704574390191,10.0103389861286,7.24317169530197,8.14298787153292
"ADAMTS3",7.22383080938818,8.63704173561007,7.04167084060994,8.1822586084266,7.19809364902218,8.06386349155164
"LIPG",7.34028567725494,8.4735870502396,7.89692820298186,8.8790642187356,6.4901422563697,7.67920712236824
"IPCEF1",7.25895306340993,9.14288795269526,9.22016843968377,10.2697001933727,7.71670743922043,9.03870849191209
"PKP1",5.6082624160881,7.14564959464971,4.92271041871699,6.01060946129847,4.67889919607624,5.92702418346328
"KRT5",4.53417878519677,5.73253575838039,6.73183065067483,8.27293540886659,5.456251595613,6.53693149846473
"MFAP5",9.0104265815096,10.8593746140575,7.71896938392937,9.34850719275015,8.45566353974291,9.15884329887738
"CCL19",8.10852582496971,11.6428927513594,11.3747366824939,13.0543027671451,7.93513231061857,9.53920143122328
"P2RX5",5.91820640246583,7.58685197991482,7.98157102471974,9.13184194234381,5.86903367104784,8.314869612898
"RASGRP2",9.00044997855801,9.70340730762247,10.2317257108183,11.1513607160331,9.2632259106729,10.2730017404017
"FAM65B",7.80248979062336,9.56273152020169,9.61199263873107,10.5894146243432,8.30052354212589,9.45757217612216
"FAM129C",5.28263222709752,6.660884900374,7.54507038106701,8.57304583657864,5.87833911237472,7.4816927688609
"DCLK1",9.74530326179687,11.1226497947376,9.69384716164795,10.6249341949968,11.1937721788047,12.0130151187895
"SCN4B",9.53534457189597,10.5873736742232,8.86631410620168,9.9348179069567,9.94237641547599,10.6663498500734
"LILRA4",5.96997393623221,8.17148137186177,7.81039841104046,9.5990445367991,6.21031697859112,6.88551373089529
"FAM167A",6.399359079663,7.8134417479042,4.56804528149788,5.91722628676452,4.16092451846181,4.90354182339443
"FAM107A",4.17287821363016,5.64333755233155,4.6760005646154,5.98646816710291,4.11832923979125,5.36344038501884
"FCRL1",6.42655657705536,8.06316628695576,8.35370365021868,9.19461091054988,6.60473163039293,8.62629717202494
"LIFR",8.97719973134446,10.8709677183191,10.1330841209768,11.9031274707544,10.0805096412192,10.7234123291523
"VPREB3",4.17146131747388,6.5506767834177,5.80372166240029,7.12315808968661,4.10444550318792,5.61438686127448
"KCND3",7.49669506268273,8.39190406196418,7.04261246288993,8.03954516077885,6.69713436673796,7.6320533466009
"DOC2B",6.33236789061865,7.68092222404248,6.18171714275122,8.24210549322518,6.97655772042441,7.86369758547257
"IL18R1",7.31055272987007,8.2515672711774,7.9999432162034,9.13480558614638,7.43025669086388,8.14730828981039
"TRABD2A",6.79702020242496,8.43296613772736,7.45477766438062,8.25497779437333,5.94663888585057,7.14273673427254
"ADCY5",6.52749164744649,8.32902133561877,7.27519616009205,8.49230552106913,6.63700222445319,7.41622519883246
"FAM177B",4.01722147002281,5.4544729566825,4.82545690703093,6.32762463459177,4.67446239502892,5.80496573530468
"CCR4",6.88257723476453,8.39293567859759,8.5032118992786,9.4661337899373,7.25124381541169,8.14118766132655
"ISM1",7.80793711681071,9.30355131374347,6.47251456444444,7.84440806580611,7.49612839246158,8.17225547905066
"PDK4",8.95269386637768,12.4411354016692,10.1451340595721,12.766090852216,10.3900847720116,11.3098490621523
"CIDEA",2.57114100065304,4.68273361482723,2.35583894389976,4.43119126636836,2.32552016303607,3.52964916626058
"ANKRD55",4.81262659935726,6.09754717482737,5.1973426735019,6.71893376790925,5.48130146544571,6.4454164862982
"CA3",4.10795110312093,5.63348263690785,4.70206865983074,6.41983848825779,4.14503213026869,4.96878797433207
"BANK1",7.09729764611865,9.52834238554259,9.95715506894671,10.9574142677873,7.71303176710148,9.62867508949644
"BACH2",7.48491702024352,8.52122491749901,7.75308234607785,8.56422341696726,7.3486506571778,8.17886133029772
"ARRDC2",7.52802202955767,9.11590658251869,8.48319370774777,9.67059677752824,7.59718296508613,8.23311610752282
"CA4",4.26454816172251,6.13089365240498,5.49076114762154,6.76408026119342,5.19966650968382,6.58983718339299
"CNR2",3.71323677377117,5.36208601312649,4.87131454160029,6.41551657143687,3.38635478344897,5.26365276199476
"DGAT2",6.91993781663286,10.5789881651376,7.41038224849624,9.34157639024749,6.69432773620025,7.31263055691491
"KIF1A",9.34843873892958,14.1220927886556,5.85074380916358,5.89332211436686,5.55733492118587,7.09786792080735
"RXRG",8.52849721270593,7.94964708403768,10.6814485962747,9.56712248110649,10.3442089160625,9.58829704127255
"APOD",16.1796234685261,13.8595015862728,15.0973649845736,14.3411564684528,16.0901848060745,14.8124413914905
"COL5A2",15.7409091259758,16.8055379435458,14.8472708055156,15.5701281696721,15.3886448108358,15.9964924448686
"DPP4",10.2181821287753,10.9833533233815,9.63878511813506,10.37878699421,8.84575787400193,9.76755690215216
"ZFAND5",12.2937015021346,13.1582692647745,12.4073655759976,13.0341858049028,12.453021641195,13.2119563557552
"PLIN4",8.04805534499922,12.7588191356283,8.42004033705813,11.8512140291634,8.70092602177267,9.35504334566215
"TNFSF8",6.19032050666659,8.38731882387502,7.63001271982785,8.97517290222027,6.76901947069492,7.62778030526461
"CIDEC",4.69030604959858,8.60998022784695,4.56831951120353,8.05403158098114,5.34597563846672,6.12346464496589
"RBP4",4.56594060073921,9.88790068325267,6.13648313148804,9.02341324261005,4.82611130912427,5.98013028134616
"HTR3A",3.62269842159859,6.1808481483367,4.75873551177453,6.34894945338158,4.06667220417053,5.38895739880854
"GALNT13",3.07110955838517,5.35532352246552,2.88278280650417,4.04166960958278,2.60448080057486,3.49610023800455
"EFHD1",6.15391183599371,7.33386147325314,5.83307246397386,6.4979209959127,7.86998809066502,8.85497848632711
"ZNF385D",7.03038302410438,8.13765492077997,6.53905733954178,7.91442535032511,6.80815609399309,7.49543262876785
"WT1",2.82276602189308,5.03867444145464,3.15964451685682,4.36157045267622,3.00721841431657,4.56047759018279
"BDNF",6.22646014018813,5.34771370683821,5.72461472125062,5.25227479297609,9.58718298936967,8.20044359737136
"RHOB",9.38860041326977,10.1800737789644,9.81146758122981,10.4780933127289,10.125195300924,10.8489804534124
"CUX2",3.45236923604267,4.96488444426614,4.54816355689414,6.63099815625065,3.9024097019853,4.61596840174667
"FGF10",4.60158257523668,6.9129306697131,4.89710345166513,5.84694959340435,4.36598179109335,5.48298629687831
"LGI3",8.64208215982545,10.2746493889345,7.39205976442469,7.83755828029327,9.90112971201549,10.8654412841581
"SLC24A3",7.90345374947024,9.07225389555386,6.46211517796786,7.56848737065858,6.44779538800831,6.99888021613647
"MAOA",9.79254414521196,10.9142152464601,8.91678836695813,10.4933280404197,9.13071839967045,9.6759808002885
"BLK",9.00942508278827,10.1281269961768,9.67353493102144,10.7644425321905,7.89553903079581,10.3080179849743
"CD163L1",9.32382109110542,10.9794043388969,9.85052381697989,10.6766430568819,10.530712200824,11.3322461485867
"ITK",10.4313980889679,11.934716222222,12.3598955220963,12.8867686183551,10.5789246222259,11.9385672914549
"ABI3BP",11.6573863529443,14.4887647595317,12.4026530916909,13.7619332778693,12.2803164803494,13.0207600872924
"KLRD1",7.27706417001373,8.90672162674923,9.5304504150871,10.3274744478451,7.445051393216,8.33383797133514
"LUZP2",3.27768346400967,6.09177576093173,2.40596414986013,3.12839620714191,2.48214761001082,3.08770913255645
"FUT7",3.93367082685744,5.50315008696943,6.32021033296333,7.49129748958476,3.7807858794171,4.97837807703797
"TCN1",8.00165677810391,7.08059342811392,7.96822591202446,7.31445277505112,9.26400521720787,7.47064188851095
"SESN1",9.96947716507289,10.7928024131195,9.99068036518087,11.0689878539638,10.4313525351571,10.9904331085856
"ALOX5AP",9.67903724664771,10.8964234140799,10.3960208903595,11.3016387974883,9.326967642519,9.82090562603058
"NFKBIA",12.8818441264588,14.2283216446521,13.6126375779006,14.2947437584411,13.1485017466963,13.8639209030888
"SLA",9.40271560258556,11.3984491672449,11.5514897499912,12.2609063739939,9.84050077305206,11.0026641197465
"ADH1B",7.48830822665064,11.6205566639844,8.78517917476845,12.4431460010267,9.11785070473466,10.1438718482827
"C3orf67",9.85695027934205,8.99028459786248,8.42508059931354,7.94658423948132,10.6694814486125,9.85775884432188
"CYTIP",9.49445004289843,11.9197949398198,11.6475879719148,12.4600038932628,9.79665054758548,10.9879532990671
"FBLN2",10.6572924596561,12.7249514101604,10.7299260835348,12.1153264105259,10.4365910161177,10.8325043064862
"CLEC4C",3.87424838237125,5.24976312501008,5.98085810143519,7.90257428038711,4.68819049904154,5.28029137446869
"TCL1A",3.95601500643796,7.44444204277888,6.28227516454327,7.99786748046325,4.10365334415911,5.53292054870787
"CRTAC1",8.78302087721291,9.28996016199991,8.26047820043509,9.22116933113085,12.5561403592068,13.5165729355772
"THRSP",3.92130929904034,6.02586067078227,3.2701283596801,4.68543559227304,3.43299608090045,4.05370362918588
"SLC35F1",6.89839593903988,6.58944957881679,8.38388680138813,7.11104449406232,10.7065888542741,9.55974095622289
"CD1C",5.79731646586877,7.8043804443324,7.94953628067838,9.19557945706441,7.25952750936923,8.27189710587453
"SLAMF6",8.55248816217831,10.686085838195,10.8945676083447,11.5800483052741,8.87149687584449,10.1057668965138
"SPOCK1",9.99989854510116,10.6281007993308,7.05727308348259,7.88001081618713,7.48012068764588,8.68897105833213
"TNR",4.83982519103053,5.74964864423837,4.23255664799792,5.78788668452754,4.09302858795128,5.4274982099698
"TMEM132C",3.47529375800916,5.47395847763318,4.14461328990199,6.19703936492243,3.7335070581296,4.28429762506412
"TMTC1",9.80373543470723,10.8694664502185,9.78570134702442,10.7268226933579,11.4976933551535,12.0205957217136
"FRMD5",9.83668306364232,8.35463043494691,9.42973930191711,8.87346204153864,11.7302580304653,10.6933222899564
"FSTL1",13.5492583431704,14.8057579886755,12.5917255842892,13.5691385446336,13.5342876096268,13.971223680052
"GPR183",9.08475167327669,10.5399690829133,10.1332900413126,10.8321709030901,9.31258200493697,10.0409270825873
"AKR1C2",8.23016830137332,10.3138625305297,7.86604663023681,9.46637217986431,8.07536768850661,8.38504476419667
"OGFRL1",10.2090487913452,11.7165854379536,10.9231650941108,11.930671896727,10.8942941706891,11.3969044721957
"C16orf89",5.80912446145625,6.98369352770759,5.38160375375807,6.06687372973292,7.18301897291159,8.06897099948239
"GRIK2",10.0586783552631,9.0335733637403,7.37524384246877,7.11048350097214,11.7169414846068,10.9546921621861
"CHRDL1",8.29427862970429,12.025136604893,9.04416720752443,11.0229777728922,9.53126014160145,10.1970699123158
"PI16",4.48253119974381,9.18246015070849,5.26804724279925,8.90378821323189,5.46698579886794,6.24213731654055
"ACTC1",4.2036918709017,6.23557010801098,3.8362618982574,5.35639167421138,4.76229838583674,5.55585755715423
"FCER2",5.56014868232235,8.56491550426813,8.17318158138003,9.18390082772112,5.79566562516907,7.2730502878298
"FDCSP",5.99400378910197,9.99725337203482,8.89974765878334,10.3379931691793,5.76707144540421,6.63842296303542
"KLF9",8.53703227467298,10.3853613099703,9.2662655755252,10.4465823526109,9.67127857354578,10.1948210140926
"SIGLEC12",6.7477995179703,7.83128916227029,6.15985774001371,6.90424461858817,6.05162501862919,6.80307054088818
"FABP4",6.1079244553091,11.1337113574439,6.77712158751216,9.89819534036558,7.47416219462805,8.3388306218119
"LBP",4.08932853923603,6.71541235314924,6.47933004879473,8.52527311260588,4.32336537096481,4.62256976830291
"CYP26B1",6.61056770749945,8.05925203054915,8.18394604021655,8.86814472030659,6.7198286354353,7.56637874957915
"GPR171",7.14926044893402,8.75435025154328,9.74544785186155,10.3003840794523,7.36703480289168,8.52515730258454
"ITGBL1",9.09645286697039,11.4589780264216,8.4146616000532,8.96782829827484,7.97978465287163,8.7793988880434
"LTB",6.19698171429129,8.26855328525484,8.82610077004267,9.68791554393128,6.58623838890027,7.5805311424946
"PPP1R1B",4.66185007396311,7.07257323183766,4.31437051724804,6.51042126905418,5.12775059247882,5.63800478880131
"PTPRD",8.05769545280786,10.3849242246524,7.21136267923366,8.4134411049567,8.52684221535292,8.96010660325152
"SMAP2",11.129899521352,12.6931646575204,12.6058833044326,13.4205877169,11.7716814160784,12.3990490774434
"SYBU",7.41825329966671,8.75520019927498,6.8739380469994,8.49514508264526,8.9590484187846,9.47717165792536
"ALDH1L1",5.02054956208454,6.51755235224781,5.36257333513605,6.29626023049618,3.84422601546241,4.64655568082392
"CD24",4.16534707605211,6.66525790166031,7.06486000750773,8.33979736574811,4.47467395451143,6.29296493799938
